action,recommendedCollection,reviewDecision,reason,sourceCategory,sourceSlug,id,name,price,availability,imageCount,localImages,sourceUrl,importStatus,importedAt,websitePath
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","adair-heavy-duty-four-fold-metal-bed-double-size-folding-bed-48-inch-black","Adair Heavy Duty Four Fold Metal Bed â€“ Double Size Folding Bed (48 Inch, Black)","12500","In stock","2","images/adair-heavy-duty-four-fold-metal-bed-double-size-folding-bed-48-inch-black/Adair-Heavy-Duty-Four-Fold-Metal-Bed---Double-Size-Folding-Bed-48-Inch-Black-2.jpg | images/adair-heavy-duty-four-fold-metal-bed-double-size-folding-bed-48-inch-black/Adair-Heavy-Duty-Four-Fold-Metal-Bed---Double-Size-Folding-Bed-48-Inch-Black-1.jpg","https://www.betterhomeindia.com/product/adair-heavy-duty-four-fold-metal-bed-double-size-folding-bed-48-inch-black/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","adair-premium-four-fold-bed-decorative-metal-folding-single-bed-black","Adair Premium Four Fold Bed â€“ Decorative Metal Folding Single Bed (Black)","10500","In stock","2","images/adair-premium-four-fold-bed-decorative-metal-folding-single-bed-black/Adair-Premium-Four-Fold-Bed---Decorative-Metal-Folding-Single-Bed-Black-2.jpg | images/adair-premium-four-fold-bed-decorative-metal-folding-single-bed-black/Adair-Premium-Four-Fold-Bed---Decorative-Metal-Folding-Single-Bed-Black-1.jpg","https://www.betterhomeindia.com/product/adair-premium-four-fold-bed-decorative-metal-folding-single-bed-black/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","eclipse-two-fold-metal-bed-portable-folding-bed-single-size-white","Eclipse Two Fold Metal Bed â€“ Portable Folding Bed (Single Size, White)","9500","In stock","2","images/eclipse-two-fold-metal-bed-portable-folding-bed-single-size-white/Eclipse-Two-Fold-Metal-Bed---Portable-Folding-Bed-Single-Size-White-2.jpg | images/eclipse-two-fold-metal-bed-portable-folding-bed-single-size-white/Eclipse-Two-Fold-Metal-Bed---Portable-Folding-Bed-Single-Size-White-1.jpg","https://www.betterhomeindia.com/product/eclipse-two-fold-metal-bed-portable-folding-bed-single-size-white/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","eclipse-two-fold-bed-with-mattress-portable-folding-bed-single-size-black","Eclipse Two Fold Bed with Mattress â€“ Portable Folding Bed (Single Size, Black)","8500","In stock","2","images/eclipse-two-fold-bed-with-mattress-portable-folding-bed-single-size-black/Eclipse-Two-Fold-Bed-with-Mattress---Portable-Folding-Bed-Single-Size-Black-2.jpg | images/eclipse-two-fold-bed-with-mattress-portable-folding-bed-single-size-black/Eclipse-Two-Fold-Bed-with-Mattress---Portable-Folding-Bed-Single-Size-Black-1.jpg","https://www.betterhomeindia.com/product/eclipse-two-fold-bed-with-mattress-portable-folding-bed-single-size-black/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","adair-four-fold-bed-with-mattress-portable-folding-single-bed-black-frame-red-mattress","Adair Four Fold Bed with Mattress â€“ Portable Folding Single Bed (Black Frame / Red Mattress)","9500","In stock","2","images/adair-four-fold-bed-with-mattress-portable-folding-single-bed-black-frame-red-mattress/Adair-Four-Fold-Bed-with-Mattress---Portable-Folding-Single-Bed-Black-Frame-Red-Mattress-2.jpg | images/adair-four-fold-bed-with-mattress-portable-folding-single-bed-black-frame-red-mattress/Adair-Four-Fold-Bed-with-Mattress---Portable-Folding-Single-Bed-Black-Frame-Red-Mattress-1.jpg","https://www.betterhomeindia.com/product/adair-four-fold-bed-with-mattress-portable-folding-single-bed-black-frame-red-mattress/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","adair-slates-bed-four-fold-metal-slates-single-bed-white","Adair Slates Bed â€“ Four Fold Metal Slates Single Bed (White)","11000","In stock","2","images/adair-slates-bed-four-fold-metal-slates-single-bed-white/Adair-Slates-Bed---Four-Fold-Metal-Slates-Single-Bed-White-2.jpg | images/adair-slates-bed-four-fold-metal-slates-single-bed-white/Adair-Slates-Bed---Four-Fold-Metal-Slates-Single-Bed-White-1.jpg","https://www.betterhomeindia.com/product/adair-slates-bed-four-fold-metal-slates-single-bed-white/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","adair-slates-bed-four-fold-metal-slates-single-bed-black","Adair Slates Bed â€“ Four Fold Metal Slates Single Bed (Black)","9500","In stock","2","images/adair-slates-bed-four-fold-metal-slates-single-bed-black/Adair-Slates-Bed---Four-Fold-Metal-Slates-Single-Bed-Black-2.jpg | images/adair-slates-bed-four-fold-metal-slates-single-bed-black/Adair-Slates-Bed---Four-Fold-Metal-Slates-Single-Bed-Black-1.jpg","https://www.betterhomeindia.com/product/adair-slates-bed-four-fold-metal-slates-single-bed-black/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","two-fold-bed-mattress-slates-foldable-portable-single-bed","Two Fold Bed (Mattress / Slates) â€“ Foldable Portable Single Bed","8000","In stock","2","images/two-fold-bed-mattress-slates-foldable-portable-single-bed/Two-Fold-Bed-Mattress-Slates-Foldable-Portable-Single-Bed.jpg | images/two-fold-bed-mattress-slates-foldable-portable-single-bed/14.jpg","https://www.betterhomeindia.com/product/two-fold-bed-mattress-slates-foldable-portable-single-bed/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","four-fold-bed-metal-slates-foldable-single-metal-bed-with-powder-coating","Four Fold Bed (Metal Slates) â€“ Foldable Single Metal Bed with Powder Coating","8500","In stock","2","images/four-fold-bed-metal-slates-foldable-single-metal-bed-with-powder-coating/003.jpg | images/four-fold-bed-metal-slates-foldable-single-metal-bed-with-powder-coating/004.jpg","https://www.betterhomeindia.com/product/four-fold-bed-metal-slates-foldable-single-metal-bed-with-powder-coating/","not yet imported","",""
"review","beds","exclude","Mostly folding beds; decide if Lucky wants foldable beds","Foldable Bed & Chair","foldable-bed-chair","rollaway-bed-with-mattress-foldable-portable-single-bed-with-wheels","Rollaway Bed with Mattress â€“ Foldable Portable Single Bed with Wheels","14000","In stock","2","images/rollaway-bed-with-mattress-foldable-portable-single-bed-with-wheels/001.jpg | images/rollaway-bed-with-mattress-foldable-portable-single-bed-with-wheels/002.jpg","https://www.betterhomeindia.com/product/rollaway-bed-with-mattress-foldable-portable-single-bed-with-wheels/","not yet imported","",""
